Datetime,Longitude,Latitude
2024-04-25 01:27:56.750,-84.33577866249999,30.4539200625
2024-04-25 01:27:56.800,-84.33577818399999,30.453920066
2024-04-25 01:27:56.850,-84.33577770549999,30.4539200695
2024-04-25 01:27:56.900,-84.335777227,30.453920073
2024-04-25 01:27:56.950,-84.3357767485,30.4539200765
2024-04-25 01:27:57.000,-84.33577627,30.45392008
2024-04-25 01:27:57.050,-84.3357757225,30.4539200235
2024-04-25 01:27:57.100,-84.335775175,30.453919967
2024-04-25 01:27:57.150,-84.3357746275,30.453919910499998
2024-04-25 01:27:57.200,-84.33577408,30.453919854
2024-04-25 01:27:57.250,-84.3357735325,30.4539197975
2024-04-25 01:27:57.300,-84.33577298499999,30.453919741
2024-04-25 01:27:57.350,-84.3357724375,30.4539196845
2024-04-25 01:27:57.400,-84.33577188999999,30.453919627999998
2024-04-25 01:27:57.450,-84.3357713425,30.4539195715
2024-04-25 01:27:57.500,-84.335770795,30.453919515
2024-04-25 01:27:57.550,-84.3357702475,30.4539194585
2024-04-25 01:27:57.600,-84.3357697,30.453919402
2024-04-25 01:27:57.650,-84.33576915249999,30.453919345499997
2024-04-25 01:27:57.700,-84.335768605,30.453919288999998
2024-04-25 01:27:57.750,-84.33576805749999,30.4539192325
2024-04-25 01:27:57.800,-84.33576751,30.453919176
2024-04-25 01:27:57.850,-84.33576696249999,30.4539191195
2024-04-25 01:27:57.900,-84.335766415,30.453919062999997
2024-04-25 01:27:57.950,-84.33576586749999,30.453919006499998
2024-04-25 01:27:58.000,-84.33576532,30.45391895
2024-04-25 01:27:58.050,-84.33576467099999,30.453918834
2024-04-25 01:27:58.100,-84.33576402199999,30.453918717999997
2024-04-25 01:27:58.150,-84.33576337299999,30.453918601999998
2024-04-25 01:27:58.200,-84.33576272399999,30.453918486
2024-04-25 01:27:58.250,-84.33576207499999,30.453918369999997
2024-04-25 01:27:58.300,-84.33576142599999,30.453918253999998
2024-04-25 01:27:58.350,-84.33576077699999,30.453918138
2024-04-25 01:27:58.400,-84.33576012799999,30.453918022
2024-04-25 01:27:58.450,-84.33575947899999,30.453917905999997
2024-04-25 01:27:58.500,-84.33575883,30.45391779
2024-04-25 01:27:58.550,-84.335758181,30.453917674
2024-04-25 01:27:58.600,-84.335757532,30.453917557999997
2024-04-25 01:27:58.650,-84.335756883,30.453917441999998
2024-04-25 01:27:58.700,-84.335756234,30.453917326
2024-04-25 01:27:58.750,-84.335755585,30.45391721
2024-04-25 01:27:58.800,-84.335754936,30.453917093999998
2024-04-25 01:27:58.850,-84.335754287,30.453916978
