Longitude1,Latitude1
-84.335825,30.453959
-84.335821873834,30.45396070960715
-84.33581480331485,30.453967519555203
-84.33580490906402,30.453975953668714
-84.33579331170307,30.453982535772262
-84.33578113185352,30.453983789690383
-84.3357694901369,30.45397623924766
-84.33575950717477,30.45395640826865
-84.33575230358863,30.453920820577906
-84.33574900000002,30.453866000000005
-84.33574425526096,30.45379406937107
-84.33570816901002,30.453728749332736
-84.33563399999998,30.453681000000003
-84.33554291143062,30.45364286331696
-84.33544994786156,30.453603648235404
-84.335356,30.453559
-84.335257,30.453511
-84.3351718182307,30.453464115303774
-84.33510113304257,30.45343770092601
-84.33504091200538,30.453447273454724
-84.33498882207216,30.453499624456686
-84.334942,30.453579000000005
-84.33489814809553,30.453654433406438
-84.3348595157524,30.45372235669393
-84.33482699999999,30.453795
-84.3348,30.453884000000002
-84.3347820309653,30.45397021850627
-84.33477848511025,30.45405022118566
-84.33480299999998,30.454113
-84.33486752862935,30.454143034546085
-84.33494603892697,30.454160903187407
-84.335023,30.454168000000003
-84.33509362910503,30.454142265138906
-84.33511794875615,30.45408186788241
-84.33509599999998,30.454003999999998
-84.3350656862483,30.453933307028183
-84.33502098440005,30.453869987907087
-84.33496199999999,30.453816
-84.33490868207524,30.45377321844087
-84.3348892402518,30.453713296150163
-84.334922,30.45365
-84.33500215910121,30.453634195588428
-84.33508115690276,30.453665787824836
-84.335139,30.453724
-84.33519106386045,30.453786112389732
-84.33523673416471,30.45385117784194
-84.33527200000002,30.453923
-84.33529332753763,30.45400074823821
-84.33529585346069,30.45406877701166
-84.33529476555819,30.454122026330193
-84.33532480125061,30.45416904705845
-84.335397,30.454200000000004
-84.33548732737015,30.454190496536434
-84.33553158389296,30.45413396425597
-84.33552,30.454046000000005
-84.335498,30.453954
-84.33547899999999,30.453863999999996
-84.33547963990847,30.453782802582108
-84.33550760554247,30.453721848401404
-84.33556193741806,30.453695716432716
-84.3356354477767,30.453719809873565
-84.335703,30.453774000000003
-84.33573248750906,30.453817139770283
-84.335734,30.453865000000004
-84.33572647719711,30.453937267827097
-84.33572096192378,30.454011759332985
-84.335719,30.454077
-84.3357079063544,30.454138320693765
-84.33565099204233,30.454183418018584
-84.33557,30.454192
-84.33553150394546,30.454149294760505
-84.335524,30.454076
-84.33552036693,30.453999211932548
-84.33551192025872,30.45393600411753
-84.33549458469851,30.453900944450655
-84.33546428496186,30.453908600827646
