Longitude2,Latitude2
-84.33580435,30.45391563
-84.33580071,30.45391724
-84.33578584,30.45392001
-84.33576532,30.45391895
-84.33573816,30.45391447
-84.33571672,30.45390944
-84.33571745,30.45391303
-84.33571401,30.45389035
-84.33570753,30.45384186
-84.33570675,30.45378058
-84.33569552,30.45374382
-84.3356562,30.45371076
-84.33557093,30.45367913
-84.33545898,30.45365281
-84.33533713,30.45362598
-84.33523347,30.45358049
-84.3351328,30.45354467
-84.33504814,30.45350564
-84.33500236,30.45348959
-84.33496948,30.45349646
-84.33494245,30.45353333
-84.33489952,30.45359902
-84.33485884,30.45365309
-84.33482315,30.45370562
-84.3347953,30.45378096
-84.33479229,30.45385942
-84.33477564,30.45393944
-84.3347699,30.4540171
-84.33479519,30.45408286
-84.33482891,30.45410371
-84.33489208,30.45411646
-84.33497052,30.45411753
-84.3350244,30.4540706
-84.33502558,30.45399716
-84.33500218,30.45392997
-84.33496534,30.45386361
-84.33491457,30.45381105
-84.33485633,30.45377525
-84.33481414,30.45374275
-84.3348039,30.45368324
-84.33483167,30.45362189
-84.33487488,30.45359885
-84.33495848,30.45363315
-84.3350452,30.45368362
-84.33510972,30.45374731
-84.33515592,30.45381632
-84.33518503,30.45388741
-84.33520376,30.45396747
-84.33520947,30.45403839
-84.33521108,30.45410268
-84.33524836,30.45415096
-84.33532767,30.45416987
-84.33540758,30.45414611
-84.33544255,30.4541143
-84.33545494,30.4540171
-84.33542744,30.45393361
-84.33541026,30.45382071
-84.33542602,30.45375307
-84.33547699,30.45368309
-84.33552254,30.45366866
-84.3355948,30.45370258
-84.33566178,30.45375711
-84.33568478,30.45381465
-84.33567026,30.45388221
-84.33566076,30.45395694
-84.33566642,30.45402669
-84.33566927,30.45408454
-84.3356413,30.45413993
-84.33558761,30.45416303
-84.33552422,30.45415973
-84.33547868,30.45414879
-84.33546465,30.45410244
-84.33545953,30.45399444
-84.33543383,30.45393722
-84.33540312,30.45391604
-84.33540079,30.4538908
